#用的全部属性
gousios,ACC,,gousios_simple,ACC,,
adobe,0.824039834,,adobe,0.820849237,,-0.003190597
Baystation12,0.808522404,,Baystation12,0.866117405,,0.057595001
bitcoin,0.70450138,,bitcoin,0.716361578,,0.011860198
cakephp,0.776454061,,cakephp,0.808188696,,0.031734635
caskroom,0.796066744,,caskroom,0.84053056,,0.044463816
cdnjs,0.762966934,,cdnjs,0.797236067,,0.034269133
cocos2d,0.695732219,,cocos2d,0.731135207,,0.035402988
dlang,0.81676126,,dlang,0.853498871,,0.036737611
hrydgard,0.840806751,,hrydgard,0.802212538,,-0.038594213
ipython,0.795322694,,ipython,0.83020683,,0.034884136
joomla,0.817255433,,joomla,0.772890614,,-0.044364819
Katello,0.911813914,,Katello,0.912580349,,0.000766435
openmicroscopy,0.83386863,,openmicroscopy,0.88305543,,0.0491868
owncloud,0.844812619,,owncloud,0.856028166,,0.011215547
puppetlabs,0.745642524,,puppetlabs,0.72956585,,-0.016076674
rails,0.693095425,,rails,0.675086906,,-0.018008519
rapid7,0.773874661,,rapid7,0.783814247,,0.009939586
scala,0.748414244,,scala,0.759185387,,0.010771143
symfony,0.739597559,,symfony,0.735378107,,-0.004219452
sympy,0.747297939,,sympy,0.749943681,,0.002645742
tgstation,0.74453383,,tgstation,0.760648285,,0.016114455
TrinityCore,0.657815749,,TrinityCore,0.636844425,,-0.020971324
twbs,0.79438215,,twbs,0.789613343,,-0.004768807
zendframework,0.765368421,,zendframework,0.744532341,,-0.02083608
AVERAGE,0.776622807,,AVERAGE,0.785646005,0.009023198
