#用的全部属性，而非初始属性
gousios_simple,ACC
adobe,0.7701421800947867
Baystation12,0.9006849315068494
bitcoin,0.687382297551789
cakephp,0.8377777777777777
caskroom,0.6548605877920121
cdnjs,0.873589164785553
cocos2d,0.8171806167400881
dlang,0.8873873873873874
hrydgard,0.8841059602649006
ipython,0.8057553956834532
joomla,0.6987087517934003
Katello,0.9147005444646098
openmicroscopy,0.8067415730337079
owncloud,0.9012345679012346
puppetlabs,0.7772397094430993
rails,0.6861989205859677
rapid7,0.8834080717488789
scala,0.7666666666666667
symfony,0.7980972515856237
sympy,0.750561797752809
tgstation,0.7601184600197434
twbs,0.7715355805243446
zendframework,0.6496519721577726
