org,repo,gousious,randomforest,xgboost,adboost,最优融合结果,rf权重,xg权重,ad权重,,与最优单个模型差值,与最差单个模型差值,monthly_ayonel,monthly_gousios,
Baystation12,Baystation12,0.871575342,0.905257077,0.863662623,0.905257077,0.908145581,0.1,0.1,0.8,,0.002888504,0.044482958,0.871900274,0.812928763,0.07254204
bitcoin,bitcoin,0.669180019,0.730937774,0.649430324,0.727432077,0.734443471,0.5,0,0.5,,0.003505697,0.085013146,0.713346536,0.67569852,0.05571718
twbs,bootstrap,0.675093633,0.789877301,0.799079755,0.791411043,0.801380368,0.4,0.3,0.3,,0.002300613,0.011503067,0.770039013,0.718779156,0.071315169
adobe,brackets,0.714454976,0.74894958,0.74894958,0.74789916,0.74894958,0,1,0,,-6.79E-14,0.00105042,0.7854501,0.752352725,0.043991832
cakephp,cakephp,0.805555556,0.849541284,0.693577982,0.80733945,0.849541284,0.2,0,0.8,,-3.31E-13,0.155963303,0.751176397,0.731682992,0.026641872
cdnjs,cdnjs,0.662146893,0.833333333,0.833333333,0.833333333,0.833333333,0,0,1,,3.33E-13,3.33E-13,0.695682926,0.687849044,0.011388955
cocos2d,cocos2d-x,0.631753032,0.796006265,0.700861394,0.796006265,0.804620204,0.2,0.2,0.6,,0.008613939,0.10375881,0.819676042,0.677194477,0.210399774
owncloud,core,0.893111639,0.893162393,0.861823362,0.892687559,0.897435897,0.8,0.2,0,,0.004273504,0.035612536,0.837601172,0.774745734,0.081130409
dlang,dmd,0.875,0.887659574,0.887659574,0.887659574,0.887659574,0,0,1,,8.49E-14,8.49E-14,0.8631719,0.751709538,0.1482785
caskroom,homebrew-cask,0.814619442,0.483808132,0.523983443,0.512783053,0.523983443,0,0.9,0.1,,3.61E-13,0.04017531,0.722573247,0.65649235,0.100657528
ipython,ipython,0.839135654,0.870526316,0.870526316,0.870526316,0.870526316,0,0,1,,4.73E-13,4.73E-13,0.787663917,0.76781772,0.025847536
joomla,joomla-cms,0.674802584,0.593023256,0.589351285,0.623623011,0.607099143,0.7,0.2,0.1,,-0.016523868,0.017747858,0.738855567,0.733619717,0.007137008
Katello,katello,0.900999092,0.897766323,0.897766323,0.897766323,0.897766323,0,0,1,,5.51E-14,5.51E-14,0.88447739,0.901584231,-0.018974202
rapid7,metasploit-framework,0.858744395,0.854113656,0.854113656,0.854113656,0.854113656,0,0,1,,3.73E-13,3.73E-13,0.788271202,0.758728875,0.038936605
openmicroscopy,openmicroscopy,0.819101124,0.841703057,0.841703057,0.841703057,0.841703057,0,0,1,,-4.42E-13,-4.42E-13,0.846675217,0.835069835,0.013897499
hrydgard,ppsspp,0.819237148,0.918085106,0.918085106,0.918085106,0.918085106,0,0,1,,-2.20E-14,-2.20E-14,0.88007841,0.810193711,0.086256778
puppetlabs,puppet,0.728484848,0.77254902,0.618627451,0.767647059,0.776470588,0.4,0,0.6,,0.003921569,0.157843137,0.703448914,0.655012842,0.073946752
rails,rails,0.635697764,0.726466993,0.652506112,0.708129584,0.729523227,0.6,0,0.4,,0.003056235,0.077017115,0.682132915,0.625889925,0.089860833
scala,scala,0.669447341,0.754826255,0.754826255,0.754826255,0.754826255,0,0,1,,2.54E-13,2.54E-13,0.735319713,0.718256331,0.023756674
symfony,symfony,0.6897463,0.738005841,0.784313725,0.743846475,0.784313725,0,1,0,,1.96E-13,0.046307885,0.65404962,0.641477683,0.019598402
sympy,sympy,0.696287964,0.75770457,0.75770457,0.75770457,0.75770457,0,0,1,,-1.99E-13,-1.99E-13,0.736696157,0.699467424,0.053224398
tgstation,tgstation,0.711253702,0.753515302,0.724979322,0.758064516,0.781637717,0.6,0.3,0.1,,0.023573201,0.056658395,0.765160785,0.697585446,0.09687034
zendframework,zendframework,0.635730858,0.711171662,0.657584015,0.685740236,0.714804723,0.8,0,0.2,,0.003633061,0.057220708,0.704079472,0.705944384,-0.002641726
平均,,0.751789535,0.787303916,0.760193416,0.786242815,0.794698571,,,,,,,0.771196821,0.73000354,0.057816529
